channel x_pos y_pos z_pos
282 -35 -990 -160
283 -35 -985 -160
284 -35 -980 -160
285 -35 -975 -160
286 -35 -970 -160
287 -35 -965 -160
288 -35 -960 -160
289 -35 -955 -160
290 -35 -950 -160
291 -35 -945 -160
292 -35 -940 -160
293 -35 -935 -160
294 -35 -930 -160
295 -35 -925 -160
296 -35 -920 -160
297 -35 -915 -160
298 -35 -910 -160
299 -35 -905 -160
300 -35 -900 -160
301 -35 -895 -160
302 -35 -890 -160
303 -35 -885 -160
304 -35 -880 -160
305 -35 -875 -160
306 -35 -870 -160
307 -35 -865 -160
308 -35 -860 -160
309 -35 -855 -160
310 -35 -850 -160
311 -35 -845 -160
312 -35 -840 -160
313 -35 -835 -160
314 -35 -830 -160
315 -35 -825 -160
316 -35 -820 -160
317 -35 -815 -160
318 -35 -810 -160
319 -35 -805 -160
320 -35 -800 -160
321 -35 -795 -160
322 -35 -790 -160
323 -35 -785 -160
324 -35 -780 -160
325 -35 -775 -160
326 -35 -770 -160
327 -35 -765 -160
328 -35 -760 -160
329 -35 -755 -160
330 -35 -750 -160
331 -35 -745 -160
332 -35 -740 -160
333 -35 -735 -160
334 -35 -730 -160
335 -35 -725 -160
336 -35 -720 -160
337 -35 -715 -160
338 -35 -710 -160
339 -35 -705 -160
340 -35 -700 -160
341 -35 -695 -160
342 -35 -690 -160
343 -35 -685 -160
344 -35 -680 -160
345 -35 -675 -160
346 -35 -670 -160
347 -35 -665 -160
348 -35 -660 -160
349 -35 -655 -160
350 -35 -650 -160
351 -35 -645 -160
352 -35 -640 -160
353 -35 -635 -160
354 -35 -630 -160
355 -35 -625 -160
356 -35 -620 -160
357 -35 -615 -160
358 -35 -610 -160
359 -35 -605 -160
360 -35 -600 -160
361 -35 -595 -160
362 -35 -590 -160
363 -35 -585 -160
364 -35 -580 -160
365 -35 -575 -160
366 -35 -570 -160
367 -35 -565 -160
368 -35 -560 -160
369 -35 -555 -160
370 -35 -550 -160
371 -35 -545 -160
372 -35 -540 -160
373 -35 -535 -160
374 -35 -530 -160
375 -35 -525 -160
376 -35 -520 -160
377 -35 -515 -160
378 -35 -510 -160
379 -35 -505 -160
380 -35 -500 -160
381 -35 -495 -160
382 -35 -490 -160
383 -35 -485 -160
384 -35 -480 -160
385 -35 -475 -160
386 -35 -470 -160
387 -35 -465 -160
388 -35 -460 -160
389 -35 -455 -160
